S_MVA spread_A IA_A IB_A IC_A
0 0.0380826 0.0787716 0.0670412 0.040689
2.5 1.31821 12.5819 13.9001 12.9336
5 2.50703 25.2263 27.7333 25.8663
7.5 3.69583 37.8707 41.5665 38.799
10 4.88461 50.5151 55.3997 51.7318
12.5 6.0734 63.1595 69.2329 64.6645
15 7.26218 75.8039 83.0661 77.5972
17.5 8.45096 88.4483 96.8993 90.53
20 9.63974 101.093 110.732 103.463
22.5 10.8285 113.737 124.566 116.395
25 12.0173 126.382 138.399 129.328
27.5 13.2061 139.026 152.232 142.261
30 14.3949 151.67 166.065 155.194
32.5 15.5836 164.315 179.898 168.126
35 16.7724 176.959 193.732 181.059
37.5 17.9612 189.604 207.565 193.992
40 19.15 202.248 221.398 206.925
42.5 20.3387 214.893 235.231 219.857
45 21.5275 227.537 249.064 232.79
47.5 22.7163 240.181 262.898 245.723
50 23.9051 252.826 276.731 258.656
52.5 25.0939 265.47 290.564 271.588
55 26.2826 278.115 304.397 284.521
57.5 27.4714 290.759 318.23 297.454
60 28.6602 303.403 332.064 310.386
62.5 29.849 316.048 345.897 323.319
65 31.0377 328.692 359.73 336.252
67.5 32.2265 341.337 373.563 349.185
70 33.4153 353.981 387.396 362.117
72.5 34.6041 366.626 401.23 375.05
75 35.7929 379.27 415.063 387.983
77.5 36.9816 391.914 428.896 400.916
80 38.1704 404.559 442.729 413.848
82.5 39.3592 417.203 456.562 426.781
85 40.548 429.848 470.396 439.714
87.5 41.7367 442.492 484.229 452.647
90 42.9255 455.136 498.062 465.579
92.5 44.1143 467.781 511.895 478.512
95 45.3031 480.425 525.728 491.445
97.5 46.4919 493.07 539.562 504.378
100 47.6806 505.714 553.395 517.31
102.5 48.8694 518.359 567.228 530.243
105 50.0582 531.003 581.061 543.176
107.5 51.247 543.647 594.894 556.109
110 52.4358 556.292 608.728 569.041
112.5 53.6245 568.936 622.561 581.974
115 54.8133 581.581 636.394 594.907
117.5 56.0021 594.225 650.227 607.839
120 57.1909 606.869 664.06 620.772
122.5 58.3796 619.514 677.893 633.705
125 59.5684 632.158 691.727 646.638
127.5 60.7572 644.803 705.56 659.57
130 61.946 657.447 719.393 672.503
132.5 63.1348 670.092 733.226 685.436
135 64.3235 682.736 747.059 698.369
137.5 65.5123 695.38 760.893 711.301
140 66.7011 708.025 774.726 724.234
142.5 67.8899 720.669 788.559 737.167
145 69.0786 733.314 802.392 750.1
147.5 70.2674 745.958 816.225 763.032
150 71.4562 758.602 830.059 775.965
152.5 72.645 771.247 843.892 788.898
155 73.8338 783.891 857.725 801.831
157.5 75.0225 796.536 871.558 814.763
160 76.2113 809.18 885.391 827.696
162.5 77.4001 821.825 899.225 840.629
165 78.5889 834.469 913.058 853.561
167.5 79.7776 847.113 926.891 866.494
170 80.9664 859.758 940.724 879.427
172.5 82.1552 872.402 954.557 892.36
175 83.344 885.047 968.391 905.292
177.5 84.5328 897.691 982.224 918.225
180 85.7215 910.335 996.057 931.158
182.5 86.9103 922.98 1009.89 944.091
185 88.0991 935.624 1023.72 957.023
187.5 89.2879 948.269 1037.56 969.956
190 90.4766 960.913 1051.39 982.889
192.5 91.6654 973.558 1065.22 995.822
195 92.8542 986.202 1079.06 1008.75
197.5 94.043 998.846 1092.89 1021.69
200 95.2318 1011.49 1106.72 1034.62
