length_km spread_A IA_A IB_A IC_A
1 38.345 407.766 446.111 417.069
2 38.3501 407.763 446.113 417.069
3 38.3553 407.761 446.116 417.069
4 38.3604 407.758 446.119 417.069
5 38.3656 407.756 446.121 417.069
6 38.3707 407.753 446.124 417.069
7 38.3758 407.751 446.127 417.069
8 38.381 407.748 446.129 417.069
9 38.3861 407.746 446.132 417.069
10 38.3912 407.744 446.135 417.069
11 38.3962 407.741 446.137 417.069
12 38.4013 407.739 446.14 417.069
13 38.4064 407.736 446.143 417.069
14 38.4114 407.734 446.145 417.069
15 38.4165 407.731 446.148 417.069
16 38.4215 407.729 446.151 417.069
17 38.4266 407.727 446.153 417.069
18 38.4316 407.724 446.156 417.069
19 38.4366 407.722 446.158 417.069
20 38.4416 407.719 446.161 417.069
21 38.4466 407.717 446.164 417.069
22 38.4516 407.715 446.166 417.069
23 38.4565 407.712 446.169 417.069
24 38.4615 407.71 446.171 417.069
25 38.4665 407.708 446.174 417.069
26 38.4714 407.705 446.177 417.069
27 38.4763 407.703 446.179 417.069
28 38.4813 407.701 446.182 417.069
29 38.4862 407.698 446.184 417.069
30 38.4911 407.696 446.187 417.069
31 38.496 407.694 446.19 417.069
32 38.5009 407.691 446.192 417.069
33 38.5058 407.689 446.195 417.069
34 38.5107 407.687 446.197 417.069
35 38.5155 407.684 446.2 417.069
36 38.5204 407.682 446.202 417.068
37 38.5252 407.68 446.205 417.068
38 38.5301 407.678 446.208 417.068
39 38.5349 407.675 446.21 417.068
40 38.5397 407.673 446.213 417.068
41 38.5445 407.671 446.215 417.068
42 38.5493 407.668 446.218 417.068
43 38.5541 407.666 446.22 417.068
44 38.5589 407.664 446.223 417.068
45 38.5637 407.662 446.225 417.068
46 38.5684 407.66 446.228 417.068
47 38.5732 407.657 446.23 417.067
48 38.5779 407.655 446.233 417.067
49 38.5827 407.653 446.236 417.067
50 38.5874 407.651 446.238 417.067
51 38.5921 407.648 446.241 417.067
52 38.5968 407.646 446.243 417.067
53 38.6015 407.644 446.246 417.067
54 38.6062 407.642 446.248 417.067
55 38.6109 407.64 446.251 417.067
56 38.6156 407.638 446.253 417.066
57 38.6202 407.635 446.256 417.066
58 38.6249 407.633 446.258 417.066
59 38.6295 407.631 446.261 417.066
60 38.6342 407.629 446.263 417.066
61 38.6388 407.627 446.266 417.066
62 38.6434 407.625 446.268 417.066
63 38.648 407.623 446.271 417.065
64 38.6526 407.62 446.273 417.065
65 38.6572 407.618 446.276 417.065
66 38.6618 407.616 446.278 417.065
67 38.6664 407.614 446.28 417.065
68 38.6709 407.612 446.283 417.065
69 38.6755 407.61 446.285 417.065
70 38.68 407.608 446.288 417.064
71 38.6846 407.606 446.29 417.064
72 38.6891 407.604 446.293 417.064
73 38.6936 407.602 446.295 417.064
74 38.6981 407.6 446.298 417.064
75 38.7026 407.598 446.3 417.063
76 38.7071 407.595 446.303 417.063
77 38.7116 407.593 446.305 417.063
78 38.7161 407.591 446.307 417.063
79 38.7205 407.589 446.31 417.063
80 38.725 407.587 446.312 417.063
81 38.7294 407.585 446.315 417.062
82 38.7338 407.583 446.317 417.062
83 38.7383 407.581 446.32 417.062
84 38.7427 407.579 446.322 417.062
85 38.7471 407.577 446.324 417.061
86 38.7515 407.575 446.327 417.061
87 38.7559 407.573 446.329 417.061
88 38.7603 407.571 446.332 417.061
89 38.7646 407.569 446.334 417.061
90 38.769 407.567 446.336 417.06
91 38.7733 407.565 446.339 417.06
92 38.7777 407.564 446.341 417.06
93 38.782 407.562 446.344 417.06
94 38.7863 407.56 446.346 417.059
95 38.7907 407.558 446.348 417.059
96 38.795 407.556 446.351 417.059
97 38.7993 407.554 446.353 417.059
98 38.8036 407.552 446.355 417.058
99 38.8078 407.55 446.358 417.058
100 38.8121 407.548 446.36 417.058
